"(No Title)"
	"2014-11-"	"8 12:17:39"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"req_internaldynamicmeasure0_element_force_z_component"	"Variable Request"	"     (N/A)"	"     (N/A)"	"(No Comment)"

".mbsmodel0.Last_Run.req_internaldynamicmeasure0_element_force_z_component.TIME"	".mbsmodel0.Last_Run.req_internaldynamicmeasure0_element_force_z_component.internaldynamicmeasure0_element_force_z_component"
4.810646e-001	0.000000e+000
4.842584e-001	-1.830051e+000
4.900000e-001	-2.205007e-001
4.900000e-001	-2.205007e-001
5.000000e-001	0.000000e+000
5.087500e-001	-1.280199e-001
5.100000e-001	-6.273837e-001
5.131445e-001	-3.375536e-001
5.200000e-001	0.000000e+000
5.252344e-001	-5.752174e-001
5.280957e-001	-2.796278e-001
5.300000e-001	0.000000e+000
5.309764e-001	0.000000e+000
5.347121e-001	-1.265409e-001
5.400000e-001	-1.079075e-001
5.500000e-001	0.000000e+000
5.600000e-001	3.123960e-001
5.606509e-001	0.000000e+000
5.649021e-001	-5.157301e-001
5.680053e-001	-8.899511e-003
5.700000e-001	-3.051234e+000
5.784974e-001	-2.810460e-001
5.800000e-001	6.128431e-015
5.811739e-001	-7.200952e-001
5.848174e-001	1.287111e-002
5.900000e-001	0.000000e+000
5.900000e-001	0.000000e+000
5.971952e-001	0.000000e+000
6.000000e-001	0.000000e+000
6.000000e-001	0.000000e+000
6.100000e-001	1.654557e-001
6.100000e-001	1.654557e-001
6.200000e-001	4.440892e-016
6.225000e-001	1.658546e-001
6.300000e-001	0.000000e+000
6.302825e-001	0.000000e+000
6.343041e-001	0.000000e+000
6.400000e-001	-4.651352e-001
6.400000e-001	-4.651352e-001
6.500000e-001	2.424646e-001
6.500000e-001	2.424646e-001
6.525222e-001	0.000000e+000
6.579666e-001	0.000000e+000
6.600000e-001	0.000000e+000
6.700000e-001	0.000000e+000
6.800000e-001	-3.747710e-001
6.802441e-001	1.110223e-016
6.900000e-001	-8.853460e-001
6.900000e-001	-8.853460e-001
7.000000e-001	2.751951e-001
7.025000e-001	0.000000e+000
7.050000e-001	-5.125329e-001
7.082048e-001	2.814255e-001
7.100000e-001	-4.403150e-001
7.114025e-001	-1.979782e-001
7.200000e-001	-4.380505e-001
7.300000e-001	0.000000e+000
7.300000e-001	0.000000e+000
7.347120e-001	-3.637640e-001
7.400000e-001	-1.047828e+000
7.411296e-001	-2.262828e-001
7.439536e-001	-2.444641e-001
7.480821e-001	0.000000e+000
7.500000e-001	-1.474056e+000
7.542857e-001	-5.909835e-001
7.600000e-001	1.709561e-001
7.600000e-001	1.709561e-001
7.628571e-001	-9.714451e-017
7.700000e-001	-3.407228e-001
7.700000e-001	-3.407228e-001
7.730585e-001	-4.929382e-001
7.800000e-001	0.000000e+000
7.900000e-001	-8.881784e-016
8.000000e-001	0.000000e+000
8.100000e-001	2.992411e-001
8.103254e-001	-2.393271e-001
8.200000e-001	1.707563e-001
8.225000e-001	-2.920463e-002
8.250000e-001	-2.582859e-001
8.300000e-001	0.000000e+000
8.300000e-001	0.000000e+000
8.333435e-001	-1.840251e-001
8.400000e-001	-3.965660e-001
8.500000e-001	0.000000e+000
8.500000e-001	0.000000e+000
8.530308e-001	0.000000e+000
8.600000e-001	0.000000e+000
8.700000e-001	0.000000e+000
8.800000e-001	-6.940453e-001
8.806509e-001	0.000000e+000
8.858962e-001	0.000000e+000
8.900000e-001	4.440892e-016
8.943228e-001	0.000000e+000
8.970383e-001	-2.584737e-001
9.000000e-001	-5.068521e-001
9.027721e-001	0.000000e+000
9.065512e-001	6.856965e-001
9.100000e-001	1.995521e-001
9.100000e-001	1.995521e-001
9.200000e-001	0.000000e+000
9.203255e-001	-2.460230e-001
9.244680e-001	-2.815192e-002
9.300000e-001	2.964729e-001
9.325000e-001	1.551328e-002
9.350000e-001	0.000000e+000
9.400000e-001	0.000000e+000
9.400000e-001	0.000000e+000
9.433435e-001	-1.109633e-001
9.500000e-001	0.000000e+000
9.600000e-001	0.000000e+000
9.606509e-001	0.000000e+000
9.646985e-001	0.000000e+000
9.672340e-001	-1.943226e-001
9.700000e-001	0.000000e+000
9.711255e-001	0.000000e+000
9.740274e-001	-5.391677e-001
9.769810e-001	1.803635e-001
9.800000e-001	-3.613870e-001
9.800000e-001	-3.613870e-001
9.900000e-001	-1.806997e-001
9.900000e-001	-1.806997e-001
1.000000e+000	-3.177781e-001
1.000000e+000	-3.177781e-001


